quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds
2010:Q3,9.659630959624376,4.566959362724312,0.15,7.738345192890718,1.533737962414464,5.47
2010:Q4,9.66463373876627,4.572450694025161,0.14,7.735154467461025,1.5475352482851936,5.92
2011:Q1,9.662230945794992,4.577552298951419,0.1,7.716122658380344,1.5640204077365578,5.890000000000001
2011:Q2,9.669352566107735,4.584712344085695,0.04,7.7562197443353575,1.5743388749518543,5.66
2011:Q3,9.66907448813035,4.590249422977519,0.01,7.759522849600757,1.5607350971533203,5.1899999999999995
2011:Q4,9.680600218395496,4.591841755776759,0.01,7.833770177522407,1.5535237778268696,5.18
2012:Q1,9.688398972659266,4.5979844301733666,0.08,7.854442132351122,1.5614712336934495,5.1000000000000005
2012:Q2,9.692692444402782,4.602055339887902,0.09,7.877205662515094,1.5738040958054713,4.859999999999999
2012:Q3,9.69404348333498,4.608155724828458,0.11,7.881733240404119,1.5688154512951527,4.7
2012:Q4,9.695177193460783,4.612423814699399,0.07,7.872799983894643,1.5724651544307116,4.47
2013:Q1,9.703999490820264,4.616337597679988,0.09,7.909407961623422,1.5839308624866597,4.71
2013:Q2,9.705231716729697,4.619378764355375,0.05,7.920532589341361,1.596803245638892,5.1000000000000005
2013:Q3,9.713035028842244,4.624825743646532,0.02,7.9584898370866375,1.6070098563077666,5.39
2013:Q4,9.720981978812096,4.630360235811655,0.07,7.962111558645706,1.6137686482685714,5.29
2014:Q1,9.718151456581301,4.634340563287871,0.05,7.950955980161558,1.6153049234789947,4.9799999999999995
2014:Q2,9.7316013574637,4.639948353323967,0.04,7.992291631512261,1.6253110737063254,4.7
2014:Q3,9.743735380268523,4.644487048365042,0.02,8.01254246367833,1.6288497676507432,4.71
2014:Q4,9.749345206007481,4.645140618031919,0.03,8.013626822057217,1.6382639159269856,4.62
2015:Q1,9.758796984414362,4.644909995156951,0.03,8.04791697753978,1.63603516102841,4.43
2015:Q2,9.765534972277642,4.650592781495914,0.02,8.050922745163426,1.6435893936910286,5
2015:Q3,9.769155839740836,4.653198154998673,0.02,8.048901376180519,1.6444235086478964,5.2
2015:Q4,9.77076154978381,4.653341110849385,0.23,8.036802038162332,1.6419360430637784,5.22
2016:Q1,9.776409577460683,4.653026580997432,0.29,8.030689379795312,1.6266540831944027,4.77
2016:Q2,9.779521692552732,4.659611021666338,0.27,8.021921640121375,1.6383204017680173,4.15
2016:Q3,9.784951733609503,4.662882335377097,0.29,8.022269787780843,1.6478933960157067,3.9099999999999997
2016:Q4,9.791225498176031,4.668201321590722,0.51,8.048822148775463,1.641586731241818,4.29
2017:Q1,9.796865129897382,4.673118512127448,0.74,8.045707824939894,1.655078820624033,3.8899999999999997
2017:Q2,9.8011280847815,4.676262186095505,0.98,8.054876739964213,1.6633842422177556,3.33
2017:Q3,9.808385351102801,4.681834886923503,1.03,8.073244602332355,1.669183982100388,3.15
2017:Q4,9.817896983901925,4.68801204929067,1.32,8.088473376435601,1.6759317186040308,2.92
2018:Q1,9.827173302185736,4.6940231994570905,1.7,8.114465034437952,1.6922013735607797,3.13
2018:Q2,9.833837322179027,4.701979241916153,1.9,8.11170608306607,1.6758165816490462,3.01
2018:Q3,9.839077023207256,4.706561836108285,2.13,8.136052237782186,1.6880489937584735,2.9299999999999997
2018:Q4,9.842351237326955,4.710961608792097,2.37,8.145635764964966,1.6785314154602082,2.86
2019:Q1,9.849575041519826,4.713997684708609,2.4,8.15516422596373,1.676255796207126,2.4299999999999997
2019:Q2,9.85327788134315,4.720113638285422,2.17,8.140300671244779,1.6928299995321416,2.08
2019:Q3,9.8596244802895,4.72385947753719,1.89,8.14488322649023,1.6934851670175897,1.87
2019:Q4,9.865474110337912,4.727290468841252,1.54,8.135438652876395,1.6971948223191697,2.33
