quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds,spread_baa_10y,credit_real_estate_ratio,mortgage_rate,cpi,pce,employment,industrial_production,treasury_1y,djia
1999:Q4,9.46324464689202,4.342024616381214,5.2,7.728897617963759,1.6622181380198713,2.8899999999999997,1.7399999999999993,0.022980629991411525,8.06,5.128714582161857,4.34546637936208,11.809490467122034,4.544988028769757,5.98,2.1369614832633266
2000:Q1,9.466856801909763,4.34884465163279,5.69,7.721840069847244,1.6648703512142222,2.5199999999999996,2.339999999999999,0.01685689920561252,8.23,5.14166355650266,4.3557853234686545,11.825551337974238,4.551748311992017,6.28,2.1368014106852518
2000:Q2,9.48499799330521,4.354668284660594,5.69,7.779355292465063,1.6719972266179532,1.9500000000000002,2.45,0.007845198218764995,8.22,5.14865659199363,4.3587708019208495,11.827298152675054,4.561587091470439,6.08,2.130634696276929
2000:Q3,9.486334404632773,4.360739155530625,6,7.769494361158399,1.6662335708020426,1.83,2.55,-0.006982695619724774,7.88,5.15675380222625,4.365338153387646,11.82695487775595,4.560998838642687,6.07,2.129875447077568
2000:Q4,9.492544970419596,4.366011575477198,5.77,7.771408234109885,1.663992394246418,1.6199999999999992,2.8999999999999995,-0.028304806880417692,7.13,5.162497643405501,4.369333921926551,11.832207943491838,4.55553131176615,5.32,2.122612644814909
2001:Q1,9.489690328558394,4.372380257622076,4.42,7.7249776579578135,1.6511943004414191,2.5300000000000002,2.91,-0.06758010731299896,6.91,5.17105201550216,4.3752789199665,11.833435262752497,4.540312680647135,4.09,2.1206190456412224
2001:Q2,9.495519314209846,4.379022125653583,3.49,7.726403633592433,1.628323980183868,3.9999999999999996,2.55,-0.06487744850528494,7.11,5.180096735160606,4.381551521825645,11.826808767574002,4.5252694682335095,3.72,2.1145855797639608
2001:Q3,9.491360301554414,4.382151626862033,2.64,7.704527970950121,1.6200698322902336,4.959999999999999,3.4299999999999997,-0.06799069851777047,6.72,5.182345190295616,4.377805237099611,11.82661148495871,4.514467276395864,2.49,2.109829486943224
2001:Q4,9.494082191818405,4.385570348297247,1.69,7.653732073186615,1.5883490778115037,6.23,2.9800000000000004,-0.0826189250444245,7.16,5.178407069875479,4.3797615713536855,11.820755693251623,4.505430510436223,2.17,2.0854333097648734
2002:Q1,9.502786080276985,4.388294450810863,1.79,7.682808199922722,1.6020242142939314,6.379999999999999,2.6899999999999995,-0.08780907421443786,7.18,5.184588601219693,4.384934901563055,11.821710789127684,4.519590510896741,2.7,2.0993798572271367
2002:Q2,9.50882884439295,4.392372926728026,1.7,7.699106176300443,1.589542643243873,6.2,3.09,-0.10034431380506874,6.55,5.190732155868099,4.391172186333584,11.823456989019654,4.537400851388793,2.06,2.100349089249347
2002:Q3,9.513263211656724,4.396631955812898,1.63,7.697624823562914,1.550100669314524,5.65,3.7700000000000005,-0.10704793526807684,5.99,5.1973914479580765,4.396804403586286,11.829938158292359,4.536520826922563,1.53,2.0652285384457207
2002:Q4,9.51480581246231,4.402356083959298,1.19,7.697007323501294,1.5415492661366959,6.21,3.62,-0.11652665898945763,5.93,5.202907181743378,4.400529397904857,11.823537622062386,4.533784811890737,1.32,2.05028878024594
2003:Q1,9.520343955494644,4.407292253796356,1.13,7.704669957019949,1.531988202716777,5.7,3.12,-0.12489206442690107,5.91,5.214392131610276,4.409483715281893,11.830899080851886,4.540480186711619,1.19,2.045254436779671
2003:Q2,9.528903188053828,4.410213136518509,0.92,7.7115476367455225,1.5466408680458308,4.970000000000001,2.6500000000000004,-0.12155087314943513,5.24,5.210032451680465,4.407085034014658,11.833486065987948,4.5352583209273005,1.09,2.0505976310011804
2003:Q3,9.545747756128907,4.415678988635725,0.94,7.747337305880717,1.562164486199918,5.78,2.83,-0.12839858408592061,5.98,5.220896219579452,4.41610192125678,11.83217160931918,4.5440933994606,1.15,2.06751876719916
2003:Q4,9.55715890065154,4.421199269748354,0.9,7.780471063770387,1.5736059671368194,5.619999999999999,2.33,-0.13399961159529997,5.85,5.22305488204749,4.419611395001152,11.837982798776142,4.552467477790723,1.26,2.0755077349091873
2004:Q1,9.562482056202272,4.428719362665864,0.94,7.782453302745937,1.5875853323522535,5.11,2.2500000000000004,-0.15322665236565156,5.4,5.231643233280044,4.427788408370544,11.838286196836723,4.556072374500076,1.2,2.0901882523521627
2004:Q2,9.570075628378174,4.436929033402141,1.27,7.821621073069788,1.5798504262209159,5.75,2.16,-0.16514238021523214,6.25,5.241217774507464,4.435745110929157,11.843480227827405,4.560192694336848,2.09,2.0813696455386137
2004:Q3,9.579487217410236,4.443356889825488,1.65,7.837015541710955,1.5764269067644976,4.659999999999999,2.13,-0.18185485225375927,5.72,5.245970886175828,4.439280877255443,11.845726685936945,4.569446630643764,2.21,2.076512040719362
2004:Q4,9.589454660094352,4.451016172821944,2.19,7.8576652960318665,1.5794481090701311,3.99,1.9100000000000001,-0.1924192742791604,5.81,5.255931650051599,4.447884597465346,11.850290160374461,4.588347474329796,2.75,2.07457696326178
2005:Q1,9.60046169734967,4.458617236835594,2.74,7.88539056169692,1.5866676681044192,3.4299999999999997,1.5599999999999996,-0.20515955760352014,6.04,5.263208189434469,4.454789059127036,11.854058252902165,4.598206999174452,3.35,2.080534650734867
2005:Q2,9.605068039541607,4.46564371588716,2.97,7.871995059482441,1.5794932106136723,2.8200000000000003,1.9200000000000004,-0.21267505641847012,5.53,5.2663105704129505,4.458489866738447,11.861566221080633,4.605023175182533,3.45,2.071124523375417
