"quarter","inflation_author","unemployment_author","tbill_rate_author","inflation_fred","unemployment_fred","tbill_rate_fred","inflation_diff","unemployment_diff","tbill_rate_diff"
"1979Q3",8.6033859,5.7,9.24,8.26152414831061,5.86666666666667,9.67333333333333,-0.341861751689393,0.166666666666667,0.433333333333334
"1979Q4",8.527,6,11.7,8.11031995227265,5.96666666666667,11.8433333333333,-0.41668004772735,-0.0333333333333332,0.143333333333333
"1980Q1",8.9298754,6.3,12,8.42377880747143,6.3,13.3533333333333,-0.506096592528573,0,1.35333333333333
"1980Q2",8.6979549,6.9,13.2,8.38220430308505,7.33333333333333,9.61666666666667,-0.315750596914949,0.433333333333333,-3.58333333333333
"1980Q3",8.9217995,7.8,8.06,8.5198040479757,7.66666666666667,9.15333333333333,-0.401995452024302,-0.133333333333333,1.09333333333333
"1980Q4",9.8203101,7.5,11.62,9.33085102629172,7.4,13.6133333333333,-0.48945907370828,-0.0999999999999996,1.99333333333333
"1981Q1",10.260683,7.5,15.02,9.78404022439183,7.43333333333333,14.39,-0.476642775608168,-0.0666666666666664,-0.630000000000001
"1981Q2",9.782242,7.2,13.69,9.2987026665543,7.4,14.9066666666667,-0.483539333445696,0.2,1.21666666666667
"1981Q3",9.325295,7.2,14.95,9.01996508691663,7.4,15.0533333333333,-0.305329913083375,0.2,0.103333333333333
"1981Q4",8.1971304,7.9,13.54,8.04025279933258,8.23333333333333,11.75,-0.15687760066742,0.333333333333334,-1.79
"1982Q1",6.9433346,8.6,12.28,6.84725366469099,8.83333333333333,12.8133333333333,-0.0960809353090113,0.233333333333334,0.533333333333333
"1982Q2",6.3978697,9.3,12.7,6.30603480892145,9.43333333333333,12.42,-0.0918348910785545,0.133333333333333,-0.279999999999999
"1982Q3",5.9201153,9.8,11.35,5.75872040455994,9.9,9.31666666666667,-0.161394895440064,0.0999999999999996,-2.03333333333333
"1982Q4",5.2088824,10.4,7.71,5.12808629652088,10.6666666666667,7.90666666666667,-0.0807961034791163,0.266666666666667,0.196666666666667
