"rep","lags","lambda_min","best_lambda","best_log_mdd"
84,3,0.17,10,-212.474947563091
85,3,0.17,10,-204.664535109312
86,3,0.17,10,-209.020096877062
87,3,0.17,5,-198.031483778281
88,3,0.17,10,-237.947559097927
89,3,0.17,10,-214.263793033577
90,3,0.17,10,-206.005629777032
91,3,0.17,10,-193.350315853198
92,3,0.17,10,-207.542590500343
93,3,0.17,10,-205.495100001825
94,3,0.17,5,-206.151057074544
95,3,0.17,5,-200.595385023866
96,3,0.17,10,-206.969945343858
97,3,0.17,10,-200.491544677282
98,3,0.17,10,-207.934763125183
99,3,0.17,10,-196.04270639568
100,3,0.17,10,-194.321685080875
1,4,0.2,10,-199.650994217417
2,4,0.2,10,-213.689730836365
3,4,0.2,10,-207.493858197648
4,4,0.2,5,-190.647266822107
5,4,0.2,10,-198.275765762382
6,4,0.2,10,-209.237840851049
7,4,0.2,10,-207.424370819534
8,4,0.2,10,-214.496177679966
9,4,0.2,10,-215.184463091424
10,4,0.2,5,-213.936998268035
11,4,0.2,10,-197.721715249387
12,4,0.2,10,-196.411465278827
13,4,0.2,10,-214.803626625513
14,4,0.2,5,-231.686685844741
15,4,0.2,10,-219.17144250789
16,4,0.2,10,-206.509406104226
17,4,0.2,10,-214.237878189063
18,4,0.2,5,-229.290646227755
19,4,0.2,10,-190.08624253754
20,4,0.2,10,-204.644877889013
21,4,0.2,10,-207.167148939388
22,4,0.2,10,-212.404328296518
23,4,0.2,10,-194.968915155638
24,4,0.2,10,-195.547434664478
25,4,0.2,10,-202.16078324748
26,4,0.2,10,-200.87371959016
27,4,0.2,10,-201.758138197321
28,4,0.2,10,-209.171027733836
29,4,0.2,10,-200.920994983179
30,4,0.2,10,-196.016769150334
31,4,0.2,10,-207.067355899683
32,4,0.2,10,-207.733894867562
33,4,0.2,10,-205.726504083608
34,4,0.2,10,-217.377443385649
35,4,0.2,5,-226.643389867458
36,4,0.2,10,-204.948893772113
37,4,0.2,10,-236.796563500149
38,4,0.2,10,-193.946425291745
